,date,country,type,cases,CODE
0,2020-01-22,Afghanistan,confirmed,0,AFG
1,2020-01-23,Afghanistan,confirmed,0,AFG
2,2020-01-24,Afghanistan,confirmed,0,AFG
3,2020-01-25,Afghanistan,confirmed,0,AFG
4,2020-01-26,Afghanistan,confirmed,0,AFG
5,2020-01-27,Afghanistan,confirmed,0,AFG
6,2020-01-28,Afghanistan,confirmed,0,AFG
7,2020-01-29,Afghanistan,confirmed,0,AFG
8,2020-01-30,Afghanistan,confirmed,0,AFG
9,2020-01-31,Afghanistan,confirmed,0,AFG
10,2020-02-01,Afghanistan,confirmed,0,AFG
11,2020-02-02,Afghanistan,confirmed,0,AFG
12,2020-02-03,Afghanistan,confirmed,0,AFG
13,2020-02-04,Afghanistan,confirmed,0,AFG
14,2020-02-05,Afghanistan,confirmed,0,AFG
15,2020-02-06,Afghanistan,confirmed,0,AFG
16,2020-02-07,Afghanistan,confirmed,0,AFG
17,2020-02-08,Afghanistan,confirmed,0,AFG
18,2020-02-09,Afghanistan,confirmed,0,AFG
19,2020-02-10,Afghanistan,confirmed,0,AFG
20,2020-02-11,Afghanistan,confirmed,0,AFG
21,2020-02-12,Afghanistan,confirmed,0,AFG
22,2020-02-13,Afghanistan,confirmed,0,AFG
23,2020-02-14,Afghanistan,confirmed,0,AFG
24,2020-02-15,Afghanistan,confirmed,0,AFG
25,2020-02-16,Afghanistan,confirmed,0,AFG
26,2020-02-17,Afghanistan,confirmed,0,AFG
27,2020-02-18,Afghanistan,confirmed,0,AFG
28,2020-02-19,Afghanistan,confirmed,0,AFG
29,2020-02-20,Afghanistan,confirmed,0,AFG
30,2020-02-21,Afghanistan,confirmed,0,AFG
31,2020-02-22,Afghanistan,confirmed,0,AFG
32,2020-02-23,Afghanistan,confirmed,0,AFG
33,2020-02-24,Afghanistan,confirmed,1,AFG
34,2020-02-25,Afghanistan,confirmed,1,AFG
35,2020-02-26,Afghanistan,confirmed,1,AFG
36,2020-02-27,Afghanistan,confirmed,1,AFG
37,2020-02-28,Afghanistan,confirmed,1,AFG
38,2020-02-29,Afghanistan,confirmed,1,AFG
39,2020-03-01,Afghanistan,confirmed,1,AFG
40,2020-03-02,Afghanistan,confirmed,1,AFG
41,2020-03-03,Afghanistan,confirmed,2,AFG
42,2020-03-04,Afghanistan,confirmed,4,AFG
43,2020-03-05,Afghanistan,confirmed,4,AFG
44,2020-03-06,Afghanistan,confirmed,4,AFG
45,2020-03-07,Afghanistan,confirmed,4,AFG
46,2020-03-08,Afghanistan,confirmed,5,AFG
47,2020-03-09,Afghanistan,confirmed,7,AFG
48,2020-03-10,Afghanistan,confirmed,8,AFG
49,2020-03-11,Afghanistan,confirmed,11,AFG
50,2020-03-12,Afghanistan,confirmed,12,AFG
51,2020-03-13,Afghanistan,confirmed,13,AFG
52,2020-03-14,Afghanistan,confirmed,15,AFG
53,2020-03-15,Afghanistan,confirmed,16,AFG
54,2020-03-16,Afghanistan,confirmed,18,AFG
55,2020-03-17,Afghanistan,confirmed,20,AFG
56,2020-03-18,Afghanistan,confirmed,24,AFG
57,2020-03-19,Afghanistan,confirmed,25,AFG
58,2020-03-20,Afghanistan,confirmed,29,AFG
59,2020-03-21,Afghanistan,confirmed,30,AFG
60,2020-03-22,Afghanistan,confirmed,34,AFG
61,2020-03-23,Afghanistan,confirmed,41,AFG
62,2020-03-24,Afghanistan,confirmed,43,AFG
63,2020-03-25,Afghanistan,confirmed,76,AFG
64,2020-03-26,Afghanistan,confirmed,80,AFG
65,2020-03-27,Afghanistan,confirmed,91,AFG
66,2020-03-28,Afghanistan,confirmed,107,AFG
67,2020-03-29,Afghanistan,confirmed,118,AFG
68,2020-03-30,Afghanistan,confirmed,146,AFG
69,2020-03-31,Afghanistan,confirmed,175,AFG
70,2020-04-01,Afghanistan,confirmed,197,AFG
71,2020-04-02,Afghanistan,confirmed,240,AFG
72,2020-04-03,Afghanistan,confirmed,275,AFG
73,2020-04-04,Afghanistan,confirmed,300,AFG
74,2020-04-05,Afghanistan,confirmed,338,AFG
75,2020-04-06,Afghanistan,confirmed,368,AFG
76,2020-04-07,Afghanistan,confirmed,424,AFG
77,2020-04-08,Afghanistan,confirmed,445,AFG
78,2020-04-09,Afghanistan,confirmed,485,AFG
79,2020-04-10,Afghanistan,confirmed,532,AFG
80,2020-04-11,Afghanistan,confirmed,556,AFG
81,2020-04-12,Afghanistan,confirmed,608,AFG
82,2020-04-13,Afghanistan,confirmed,666,AFG
83,2020-04-14,Afghanistan,confirmed,715,AFG
84,2020-04-15,Afghanistan,confirmed,785,AFG
85,2020-04-16,Afghanistan,confirmed,841,AFG
86,2020-04-17,Afghanistan,confirmed,907,AFG
87,2020-04-18,Afghanistan,confirmed,934,AFG
88,2020-04-19,Afghanistan,confirmed,997,AFG
89,2020-04-20,Afghanistan,confirmed,1027,AFG
90,2020-04-21,Afghanistan,confirmed,1093,AFG
91,2020-04-22,Afghanistan,confirmed,1177,AFG
92,2020-04-23,Afghanistan,confirmed,1236,AFG
93,2020-04-24,Afghanistan,confirmed,1331,AFG
94,2020-04-25,Afghanistan,confirmed,1464,AFG
95,2020-04-26,Afghanistan,confirmed,1532,AFG
96,2020-04-27,Afghanistan,confirmed,1704,AFG
97,2020-04-28,Afghanistan,confirmed,1830,AFG
98,2020-04-29,Afghanistan,confirmed,1940,AFG
99,2020-04-30,Afghanistan,confirmed,2127,AFG
100,2020-05-01,Afghanistan,confirmed,2291,AFG
101,2020-05-02,Afghanistan,confirmed,2470,AFG
102,2020-05-03,Afghanistan,confirmed,2705,AFG
103,2020-05-04,Afghanistan,confirmed,2895,AFG
104,2020-05-05,Afghanistan,confirmed,3225,AFG
105,2020-05-06,Afghanistan,confirmed,3393,AFG
106,2020-05-07,Afghanistan,confirmed,3564,AFG
107,2020-05-08,Afghanistan,confirmed,3781,AFG
108,2020-05-09,Afghanistan,confirmed,4042,AFG
109,2020-05-10,Afghanistan,confirmed,4403,AFG
110,2020-05-11,Afghanistan,confirmed,4687,AFG
111,2020-05-12,Afghanistan,confirmed,4968,AFG
112,2020-05-13,Afghanistan,confirmed,5227,AFG
113,2020-05-14,Afghanistan,confirmed,5640,AFG
114,2020-05-15,Afghanistan,confirmed,6054,AFG
115,2020-05-16,Afghanistan,confirmed,6403,AFG
116,2020-05-17,Afghanistan,confirmed,6665,AFG
117,2020-05-18,Afghanistan,confirmed,7073,AFG
118,2020-05-19,Afghanistan,confirmed,7654,AFG
119,2020-05-20,Afghanistan,confirmed,8146,AFG
120,2020-05-21,Afghanistan,confirmed,8677,AFG
121,2020-05-22,Afghanistan,confirmed,9219,AFG
122,2020-05-23,Afghanistan,confirmed,10001,AFG
123,2020-05-24,Afghanistan,confirmed,10585,AFG
124,2020-05-25,Afghanistan,confirmed,11176,AFG
125,2020-05-26,Afghanistan,confirmed,11834,AFG
126,2020-05-27,Afghanistan,confirmed,12459,AFG
127,2020-05-28,Afghanistan,confirmed,13039,AFG
128,2020-05-29,Afghanistan,confirmed,13662,AFG
129,2020-05-30,Afghanistan,confirmed,14528,AFG
130,2020-05-31,Afghanistan,confirmed,15208,AFG
131,2020-06-01,Afghanistan,confirmed,15753,AFG
132,2020-06-02,Afghanistan,confirmed,16512,AFG
133,2020-06-03,Afghanistan,confirmed,17270,AFG
134,2020-06-04,Afghanistan,confirmed,18057,AFG
135,2020-06-05,Afghanistan,confirmed,18972,AFG
136,2020-06-06,Afghanistan,confirmed,19554,AFG
137,2020-06-07,Afghanistan,confirmed,20345,AFG
138,2020-06-08,Afghanistan,confirmed,20920,AFG
139,2020-06-09,Afghanistan,confirmed,21462,AFG
140,2020-06-10,Afghanistan,confirmed,22146,AFG
141,2020-06-11,Afghanistan,confirmed,22894,AFG
142,2020-06-12,Afghanistan,confirmed,23550,AFG
143,2020-06-13,Afghanistan,confirmed,24106,AFG
144,2020-06-14,Afghanistan,confirmed,24770,AFG
145,2020-06-15,Afghanistan,confirmed,25531,AFG
146,2020-06-16,Afghanistan,confirmed,26314,AFG
147,2020-06-17,Afghanistan,confirmed,26878,AFG
148,2020-06-18,Afghanistan,confirmed,27536,AFG
149,2020-06-19,Afghanistan,confirmed,27882,AFG
150,2020-06-20,Afghanistan,confirmed,28428,AFG
151,2020-06-21,Afghanistan,confirmed,28837,AFG
152,2020-06-22,Afghanistan,confirmed,29147,AFG
153,2020-06-23,Afghanistan,confirmed,29471,AFG
154,2020-06-24,Afghanistan,confirmed,29705,AFG
155,2020-06-25,Afghanistan,confirmed,30165,AFG
156,2020-06-26,Afghanistan,confirmed,30441,AFG
157,2020-06-27,Afghanistan,confirmed,30606,AFG
158,2020-06-28,Afghanistan,confirmed,30957,AFG
159,2020-06-29,Afghanistan,confirmed,31228,AFG
160,2020-06-30,Afghanistan,confirmed,31507,AFG
161,2020-07-01,Afghanistan,confirmed,31826,AFG
162,2020-07-02,Afghanistan,confirmed,32012,AFG
163,2020-07-03,Afghanistan,confirmed,32314,AFG
164,2020-07-04,Afghanistan,confirmed,32662,AFG
165,2020-07-05,Afghanistan,confirmed,32941,AFG
166,2020-07-06,Afghanistan,confirmed,33180,AFG
